Target,Model,RMSE,MAE,R2
Kp,RandomForest,0.28299736803996556,0.2410503136507066,-0.06343726358819235
Kp,NeuralNetwork,0.3416797810275375,0.28025691088152355,-0.5501925359429534
Kp,XGBoost,0.294661446890261,0.24799989670198896,-0.15290551162471488
Ki,RandomForest,0.12339903663200394,0.10660567951686924,-0.12264039502928781
Ki,NeuralNetwork,0.13705071800985494,0.11551708246114811,-0.3847767298225455
Ki,XGBoost,0.12743287512273216,0.1091194846820955,-0.19723688974817888
Kd,RandomForest,0.12176083310060914,0.10408862501033811,-0.05256079567171357
Kd,NeuralNetwork,0.14242662167372597,0.11899135580763916,-0.44017183805272464
Kd,XGBoost,0.12620969378276123,0.1074211990375183,-0.13088226724731
